"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorEqual.category record1Value","[0] StringAttributeComparatorEqual.category record2Value","[0] StringAttributeComparatorEqual.category record1PreprocessedValue","[0] StringAttributeComparatorEqual.category record2PreprocessedValue","[0] StringAttributeComparatorEqual.category similarity","[0] StringAttributeComparatorEqual.category postproccesedSimilarity","[1] StringListAttributeComparatorLevenshtein.commonNames record1Value","[1] StringListAttributeComparatorLevenshtein.commonNames record2Value","[1] StringListAttributeComparatorLevenshtein.commonNames record1PreprocessedValue","[1] StringListAttributeComparatorLevenshtein.commonNames record2PreprocessedValue","[1] StringListAttributeComparatorLevenshtein.commonNames similarity","[1] StringListAttributeComparatorLevenshtein.commonNames postproccesedSimilarity","[2] StringListAttributeComparatorLevenshtein.orders record1Value","[2] StringListAttributeComparatorLevenshtein.orders record2Value","[2] StringListAttributeComparatorLevenshtein.orders record1PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.orders record2PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.orders similarity","[2] StringListAttributeComparatorLevenshtein.orders postproccesedSimilarity","[3] StringListAttributeComparatorLevenshtein.families record1Value","[3] StringListAttributeComparatorLevenshtein.families record2Value","[3] StringListAttributeComparatorLevenshtein.families record1PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.families record2PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.families similarity","[3] StringListAttributeComparatorLevenshtein.families postproccesedSimilarity"
"WekaMatchingRule","BIO27962","http://www.wikidata.org/entity/q1311912","0.03",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[mordellistena rutila]","[none]","[mordellistena rutila]","0.09999999999999998","0.09999999999999998","[hemiptera]","[coleoptera]","[hemiptera]","[coleoptera]","0.5","0.5","[pentatomidae]","[mordellidae]","[pentatomidae]","[mordellidae]","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","BIO01390","http://www.wikidata.org/entity/q404173","0.34",,"Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[pacific foxtail]","[aloe schelpei]","[pacific foxtail]","[aloe schelpei]","0.1333333333333333","0.1333333333333333","[poales]","[asparagales, agavales, amaryllidales, iridales]","[poales]","[asparagales, agavales, amaryllidales, iridales]","0.5","0.5","[poaceae]","[xanthorrhoeaceae, asphodelaceae]","[poaceae]","[xanthorrhoeaceae, asphodelaceae]","0.5384615384615384","0.5384615384615384"
"WekaMatchingRule","BIO35702","http://www.wikidata.org/entity/q974763","0.1",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[progomphus zonatus]","[none]","[progomphus zonatus]","0.11111111111111116","0.11111111111111116","[odonata]","[odonata]","[odonata]","[odonata]","1.0","1.0","[gomphidae]","[gomphidae]","[gomphidae]","[gomphidae]","1.0","1.0"
"WekaMatchingRule","BIO33936","http://www.wikidata.org/entity/q767088",,"0","Vascular Plant","Bird","Vascular Plant","Bird","0.0","0.0","[narrowleaf silkgrass]","[bornean bristlehead]","[narrowleaf silkgrass]","[bornean bristlehead]","0.19999999999999996","0.19999999999999996","[asterales]","[passeriformes, saurischia, dinosaur, avetheropoda]","[asterales]","[passeriformes, saurischia, dinosaur, avetheropoda]","0.46153846153846156","0.46153846153846156","[asteraceae]","[pityriasidae, corvidae]","[asteraceae]","[pityriasidae, corvidae]","0.41666666666666663","0.41666666666666663"
"WekaMatchingRule","BIO08620","http://www.wikidata.org/entity/q2041795","0.28",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[cephaloleia affinis]","[none]","[cephaloleia affinis]","0.10526315789473684","0.10526315789473684","[diptera]","[coleoptera]","[diptera]","[coleoptera]","0.5","0.5","[pipunculidae]","[leaf beetle]","[pipunculidae]","[leaf beetle]","0.08333333333333337","0.08333333333333337"
"WekaMatchingRule","BIO34600","http://www.wikidata.org/entity/q604654",,"0",,,,,,,"[wheeler s bluegrass, pinegrass]","[poa ampla]","[wheeler s bluegrass, pinegrass]","[poa ampla]","0.1578947368421053","0.1578947368421053","[poales]","[poales]","[poales]","[poales]","1.0","1.0","[poaceae]","[poaceae]","[poaceae]","[poaceae]","1.0","1.0"
"WekaMatchingRule","BIO27186","http://www.wikidata.org/entity/q1829161","0.1",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[mesostenus modicus]","[none]","[mesostenus modicus]","0.11111111111111116","0.11111111111111116","[hymenoptera]","[hymenoptera]","[hymenoptera]","[hymenoptera]","1.0","1.0","[ichneumonidae]","[ichneumonidae]","[ichneumonidae]","[ichneumonidae]","1.0","1.0"
"WekaMatchingRule","BIO35810","http://www.wikidata.org/entity/q2165957","0.2",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[protomacronema barnardi]","[none]","[protomacronema barnardi]","0.13043478260869568","0.13043478260869568","[lepidoptera]","[trichoptera]","[lepidoptera]","[trichoptera]","0.5454545454545454","0.5454545454545454","[noctuidae]","[hydropsychidae]","[noctuidae]","[hydropsychidae]","0.3571428571428571","0.3571428571428571"
"WekaMatchingRule","BIO41756","http://www.wikidata.org/entity/q825794","0.15",,"Fish","Fish","Fish","Fish","1.0","1.0","[pygmy filefish]","[false oblique hatchetfish, sternoptyx pseudodiaphana]","[pygmy filefish]","[false oblique hatchetfish, sternoptyx pseudodiaphana]","0.28","0.28","[tetraodontiformes]","[stomiiformes]","[tetraodontiformes]","[stomiiformes]","0.5294117647058824","0.5294117647058824","[monacanthidae]","[sternoptychidae]","[monacanthidae]","[sternoptychidae]","0.4","0.4"
"WekaMatchingRule","BIO42218","http://www.wikidata.org/entity/q320193","0.9951992687894017","1","Bird","Bird","Bird","Bird","1.0","1.0","[brown booby, brown bobby]","[brown booby]","[brown booby, brown bobby]","[brown booby]","1.0","1.0","[suliformes]","[suliformes, pelecaniformes, dinosaur, avetheropoda, saurischia]","[suliformes]","[suliformes, pelecaniformes, dinosaur, avetheropoda, saurischia]","1.0","1.0","[sulidae]","[sulids]","[sulidae]","[sulids]","0.7142857142857143","0.7142857142857143"
