"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard.scientificName record1Value","[0] StringAttributeComparatorJaccard.scientificName record2Value","[0] StringAttributeComparatorJaccard.scientificName record1PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName record2PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName similarity","[0] StringAttributeComparatorJaccard.scientificName postproccesedSimilarity","[1] StringAttributeComparatorLevenshtein.scientificName record1Value","[1] StringAttributeComparatorLevenshtein.scientificName record2Value","[1] StringAttributeComparatorLevenshtein.scientificName record1PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName record2PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName similarity","[1] StringAttributeComparatorLevenshtein.scientificName postproccesedSimilarity","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record1Value","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record2Value","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record1PreprocessedValue","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record2PreprocessedValue","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames similarity","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames postproccesedSimilarity","[3] StringListAttributeAsWholeComparatorJaccard.orders record1Value","[3] StringListAttributeAsWholeComparatorJaccard.orders record2Value","[3] StringListAttributeAsWholeComparatorJaccard.orders record1PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.orders record2PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.orders similarity","[3] StringListAttributeAsWholeComparatorJaccard.orders postproccesedSimilarity","[4] StringListAttributeAsWholeComparatorJaccard.families record1Value","[4] StringListAttributeAsWholeComparatorJaccard.families record2Value","[4] StringListAttributeAsWholeComparatorJaccard.families record1PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.families record2PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.families similarity","[4] StringListAttributeAsWholeComparatorJaccard.families postproccesedSimilarity","[5] StringListAttributeComparatorEqual.states record1Value","[5] StringListAttributeComparatorEqual.states record2Value","[5] StringListAttributeComparatorEqual.states record1PreprocessedValue","[5] StringListAttributeComparatorEqual.states record2PreprocessedValue","[5] StringListAttributeComparatorEqual.states similarity","[5] StringListAttributeComparatorEqual.states postproccesedSimilarity"
"WekaMatchingRule","BIO31736","ES1428",,"0","patalene olyzonaria","eleutherodactylus jasperi","patalene olyzonaria","eleutherodactylus jasperi","0.0","0.0","patalene olyzonaria","eleutherodactylus jasperi","patalene olyzonaria","eleutherodactylus jasperi","0.16000000000000003","0.16000000000000003","[golden coqui]","[none]","[golden coqui]","[none]","0.16666666666666663","0.16666666666666663",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO21458","ES1321","0.3333333333333333",,"hylaeus rugulosus","hylaeus kuakea","hylaeus rugulosus","hylaeus kuakea","0.3333333333333333","0.3333333333333333","hylaeus rugulosus","hylaeus kuakea","hylaeus rugulosus","hylaeus kuakea","0.5294117647058824","0.5294117647058824","[hawaiian yellow faced bee]","[none]","[hawaiian yellow faced bee]","[none]","0.12","0.12",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO23253","ES1513","0.0",,"lampropeltis pyromelana","lampsilis subangulata","lampropeltis pyromelana","lampsilis subangulata","0.0","0.0","lampropeltis pyromelana","lampsilis subangulata","lampropeltis pyromelana","lampsilis subangulata","0.4347826086956522","0.4347826086956522","[shinyrayed pocketbook]","[sonoran mountain kingsnake]","[shinyrayed pocketbook]","[sonoran mountain kingsnake]","0.1923076923076923","0.1923076923076923",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO33566","ES792","0.0",,"physconia kurokawae","phyllostegia floribunda","physconia kurokawae","phyllostegia floribunda","0.0","0.0","physconia kurokawae","phyllostegia floribunda","physconia kurokawae","phyllostegia floribunda","0.34782608695652173","0.34782608695652173","[no common name]","[frosted lichen]","[no common name]","[frosted lichen]","0.0714285714285714","0.0714285714285714",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO17273","ES1337","0.0",,"euphrasia arctica","euproserpinus euterpe","euphrasia arctica","euproserpinus euterpe","0.0","0.0","euphrasia arctica","euproserpinus euterpe","euphrasia arctica","euproserpinus euterpe","0.2857142857142857","0.2857142857142857","[kern primrose sphinx moth]","[american eyebright]","[kern primrose sphinx moth]","[american eyebright]","0.19999999999999996","0.19999999999999996",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO07164","ES1317","0.0",,"campylopus tallulensis","campeloma decampi","campylopus tallulensis","campeloma decampi","0.0","0.0","campylopus tallulensis","campeloma decampi","campylopus tallulensis","campeloma decampi","0.36363636363636365","0.36363636363636365","[slender campeloma]","[tallul campylopus moss]","[slender campeloma]","[tallul campylopus moss]","0.31818181818181823","0.31818181818181823",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO08918","ES1092","0.0",,"chaenactis","chasiempis ibidis","chaenactis","chasiempis ibidis","0.0","0.0","chaenactis","chasiempis ibidis","chaenactis","chasiempis ibidis","0.3529411764705882","0.3529411764705882","[chaenactis, pincushion]","[oahu elepaio]","[chaenactis, pincushion]","[oahu elepaio]","0.16666666666666669","0.16666666666666669",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO43402","ES658","0.0",,"thymophylla concinna","thysanocarpus conchuliferus","thymophylla concinna","thysanocarpus conchuliferus","0.0","0.0","thymophylla concinna","thysanocarpus conchuliferus","thymophylla concinna","thysanocarpus conchuliferus","0.37037037037037035","0.37037037037037035","[santa cruz island fringepod]","[sonoran pricklyleaf]","[santa cruz island fringepod]","[sonoran pricklyleaf]","0.2222222222222222","0.2222222222222222",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO06581","ES348","0.0",,"callicorixa alaskensis","callirhoe scabriuscula","callicorixa alaskensis","callirhoe scabriuscula","0.0","0.0","callicorixa alaskensis","callirhoe scabriuscula","callicorixa alaskensis","callirhoe scabriuscula","0.31818181818181823","0.31818181818181823","[texas poppy mallow]","[none]","[texas poppy mallow]","[none]","0.05555555555555558","0.05555555555555558",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO34794","ES1425","0.0",,"polistes aurifer","polyborus plancus audubonii","polistes aurifer","polyborus plancus audubonii","0.0","0.0","polistes aurifer","polyborus plancus audubonii","polistes aurifer","polyborus plancus audubonii","0.2962962962962963","0.2962962962962963","[audubon s crested caracara]","[none]","[audubon s crested caracara]","[none]","0.11538461538461542","0.11538461538461542",,,,,,,,,,,,,,,,,,
