resource,superClass,super2Class,super3Class,super4Class,parentTaxon,parent2Taxon,parent3Taxon,parent4Taxon,taxonName,taxonCommonName,differentFrom,endemic,conservationStatus,resourceLabel,superClassLabel,super2ClassLabel,super3ClassLabel,super4ClassLabel,parentTaxonLabel,parent2TaxonLabel,parent3TaxonLabel,parent4TaxonLabel,taxonNameLabel,taxonCommonNameLabel,differentFromLabel,endemicToLabel,conservationStatusLabel
http://www.wikidata.org/entity/Q1469688,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q729,http://www.wikidata.org/entity/Q7239,,,,,,,,,,Ouessant,sheep,herbivore,animal,organism,,,,,,,,,
http://www.wikidata.org/entity/Q1469817,http://www.wikidata.org/entity/Q188828,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,,,,,,,,,,New Forest pony,pony,horse,domesticated mammal,mammal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1469817,http://www.wikidata.org/entity/Q188828,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,,,,,,,,,,New Forest pony,pony,horse,domesticated mammal,domesticated animal,,,,,,,,,
http://www.wikidata.org/entity/Q1469817,http://www.wikidata.org/entity/Q188828,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q165115,http://www.wikidata.org/entity/Q729,,,,,,,,,,New Forest pony,pony,horse,Equidae,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1472551,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q69301705,http://www.wikidata.org/entity/Q842175,http://www.wikidata.org/entity/Q105064135,,,,,,,,,,Rough Fell,sheep,sheep,ruminant,Ungulata,,,,,,,,,
http://www.wikidata.org/entity/Q1472551,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,Rough Fell,sheep,domesticated mammal,mammal living in captivity,animal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1472551,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,,,,Rough Fell,sheep,domesticated mammal,mammal living in captivity,mammal,,,,,,,,,
http://www.wikidata.org/entity/Q1472551,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,Rough Fell,sheep,domesticated mammal,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1472551,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q1797813,http://www.wikidata.org/entity/Q57812559,http://www.wikidata.org/entity/Q26401003,,,,,,,,,,Rough Fell,sheep,productive animal,animal living in captivity,individual animal,,,,,,,,,
http://www.wikidata.org/entity/Q1472551,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q72638,http://www.wikidata.org/entity/Q159344,,,,,,,,,,Rough Fell,sheep,herbivore,consumer,heterotroph,,,,,,,,,
http://www.wikidata.org/entity/Q1472551,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q72638,http://www.wikidata.org/entity/Q7239,,,,,,,,,,Rough Fell,sheep,herbivore,consumer,organism,,,,,,,,,
http://www.wikidata.org/entity/Q1472551,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q729,http://www.wikidata.org/entity/Q7239,,,,,,,,,,Rough Fell,sheep,herbivore,animal,organism,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,tabby cat,house cat,domesticated mammal,mammal living in captivity,animal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,,,,tabby cat,house cat,domesticated mammal,mammal living in captivity,mammal,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,tabby cat,house cat,domesticated mammal,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q39201,http://www.wikidata.org/entity/Q57812559,http://www.wikidata.org/entity/Q26401003,,,,,,,,,,tabby cat,house cat,pet,animal living in captivity,individual animal,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q39201,http://www.wikidata.org/entity/Q26401003,http://www.wikidata.org/entity/Q18336849,,,,,,,,,,tabby cat,house cat,pet,individual animal,entity whose item has the given name property,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q39201,http://www.wikidata.org/entity/Q26401003,http://www.wikidata.org/entity/Q795052,,,,,,,,,,tabby cat,house cat,pet,individual animal,individual,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q39201,http://www.wikidata.org/entity/Q26401003,http://www.wikidata.org/entity/Q729,,,,,,,,,,tabby cat,house cat,pet,individual animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q39201,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,tabby cat,house cat,pet,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q39201,http://www.wikidata.org/entity/Q28877,http://www.wikidata.org/entity/Q2897903,,,,,,,,,,tabby cat,house cat,pet,goods,goods and services,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q39201,http://www.wikidata.org/entity/Q28877,http://www.wikidata.org/entity/Q488383,,,,,,,,,,tabby cat,house cat,pet,goods,object,,,,,,,,,
http://www.wikidata.org/entity/Q1474329,http://www.wikidata.org/entity/Q146,http://www.wikidata.org/entity/Q25265,http://www.wikidata.org/entity/Q729,http://www.wikidata.org/entity/Q7239,,,,,,,,,,tabby cat,house cat,Felidae,animal,organism,,,,,,,,,
http://www.wikidata.org/entity/Q1476540,http://www.wikidata.org/entity/Q149017,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,Jamora,domestic rabbit,domesticated mammal,mammal living in captivity,animal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1476540,http://www.wikidata.org/entity/Q149017,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,,,,Jamora,domestic rabbit,domesticated mammal,mammal living in captivity,mammal,,,,,,,,,
http://www.wikidata.org/entity/Q1476540,http://www.wikidata.org/entity/Q149017,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,Jamora,domestic rabbit,domesticated mammal,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1476540,http://www.wikidata.org/entity/Q149017,http://www.wikidata.org/entity/Q9394,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,,,,,,,,,,Jamora,domestic rabbit,rabbit,domesticated mammal,mammal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1476540,http://www.wikidata.org/entity/Q149017,http://www.wikidata.org/entity/Q9394,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,,,,,,,,,,Jamora,domestic rabbit,rabbit,domesticated mammal,domesticated animal,,,,,,,,,
http://www.wikidata.org/entity/Q1476540,http://www.wikidata.org/entity/Q149017,http://www.wikidata.org/entity/Q9394,http://www.wikidata.org/entity/Q25900,,,,,,,,,,,Jamora,domestic rabbit,rabbit,Leporidae,,,,,,,,,,
http://www.wikidata.org/entity/Q1477772,http://www.wikidata.org/entity/Q18562285,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,,,,,,,,,,Rhenish-German Cold-Blood,draft horse,horse,domesticated mammal,mammal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1477772,http://www.wikidata.org/entity/Q18562285,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,,,,,,,,,,Rhenish-German Cold-Blood,draft horse,horse,domesticated mammal,domesticated animal,,,,,,,,,
http://www.wikidata.org/entity/Q1477772,http://www.wikidata.org/entity/Q18562285,http://www.wikidata.org/entity/Q11637629,http://www.wikidata.org/entity/Q1797813,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,Rhenish-German Cold-Blood,draft horse,draft animal,productive animal,animal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1477772,http://www.wikidata.org/entity/Q18562285,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q165115,http://www.wikidata.org/entity/Q729,,,,,,,,,,Rhenish-German Cold-Blood,draft horse,horse,Equidae,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1484022,http://www.wikidata.org/entity/Q787,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q57812559,,,,,,,http://www.wikidata.org/entity/Q502282,,,male pig,pig,domesticated mammal,mammal living in captivity,animal living in captivity,,,,,,,Eber,,
http://www.wikidata.org/entity/Q1484022,http://www.wikidata.org/entity/Q787,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,http://www.wikidata.org/entity/Q502282,,,male pig,pig,domesticated mammal,mammal living in captivity,mammal,,,,,,,Eber,,
http://www.wikidata.org/entity/Q1484022,http://www.wikidata.org/entity/Q787,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,http://www.wikidata.org/entity/Q502282,,,male pig,pig,domesticated mammal,domesticated animal,animal,,,,,,,Eber,,
http://www.wikidata.org/entity/Q931385,http://www.wikidata.org/entity/Q3826230,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,,,,,,,,,,Salerno horse,sport horse,horse,domesticated mammal,domesticated animal,,,,,,,,,
