,Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group
130,Menidia extensa,Waccamaw silverside,Wherever found,4,Threatened,Fishes
131,Cicindela puritana,Puritan tiger beetle,Wherever found,5,Threatened,Insects
132,Grus americana,Whooping crane,"U.S.A. (CO, ID, FL, NM, UT, and the western half of Wyoming)",4,"Experimental Population, Non-Essential",Birds
133,Lepidomeda albivallis,White River spinedace,Wherever found,8,Endangered,Fishes
134,Erinna newcombi,Newcomb's snail,Wherever found,1,Threatened,Snails
135,Amblyopsis rosae,Ozark cavefish,Wherever found,4,Threatened,Fishes
136,Pterodroma cahow,Bermuda petrel,Wherever found,4,Endangered,Birds
137,Notropis buccula,Smalleye Shiner,Wherever found,2,Endangered,Fishes
138,Corvus kubaryi,Mariana (=aga) Crow,Wherever found,1,Endangered,Birds
139,Laterallus jamaicensis ssp. jamaicensis,Eastern Black rail,Wherever found,4,Threatened,Birds
140,Trimerotropis infantilis,Zayante band-winged grasshopper,Wherever found,8,Endangered,Insects
141,Etheostoma sellare,Maryland darter,Wherever found,5,Endangered,Fishes
142,Lepidurus packardi,Vernal pool tadpole shrimp,Wherever found,8,Endangered,Crustaceans
143,Notropis oxyrhynchus,Sharpnose Shiner,Wherever found,2,Endangered,Fishes
144,Gymnogyps californianus,California condor,"U.S.A. (specific portions of Arizona, Nevada, and Utah)",8,"Experimental Population, Non-Essential",Birds
145,Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams
146,Orthalicus reses (not incl. nesodryas),Stock Island tree snail,Wherever found,4,Threatened,Snails
147,Masticophis lateralis euryxanthus,Alameda whipsnake (=striped racer),Wherever found,8,Threatened,Reptiles
148,Noturus flavipinnis,Yellowfin madtom,U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii)),4,"Experimental Population, Non-Essential",Fishes
149,Villosa perpurpurea,Purple bean,Wherever found,5,Endangered,Clams
150,Setophaga angelae,Elfin-woods warbler,Wherever found,4,Threatened,Birds
151,Enhydra lutris nereis,Southern sea otter,Wherever found,8,Threatened,Mammals
152,Noturus flavipinnis,Yellowfin madtom,"U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))",4,"Experimental Population, Non-Essential",Fishes
153,Pyrgus ruralis lagunae,Laguna Mountains skipper,Wherever found,8,Endangered,Insects
154,Chasiempis ibidis,Oahu elepaio,Wherever found,1,Endangered,Birds
155,Gambusia gaigei,Big Bend gambusia,Wherever found,2,Endangered,Fishes
156,Cyclargus (=Hemiargus) thomasi bethunebakeri,Miami Blue Butterfly,Wherever found,4,Endangered,Insects
157,Nerodia erythrogaster neglecta,Copperbelly water snake,"Indiana north of 40 degrees north latitude, Michigan, Ohio",3,Threatened,Reptiles
158,Syncaris pacifica,California freshwater shrimp,Wherever found,8,Endangered,Crustaceans
159,Anas laysanensis,Laysan duck,Wherever found,1,Endangered,Birds
160,Salvelinus confluentus,Bull Trout,Clackamas River subbasin experimental population,1,"Experimental Population, Non-Essential",Fishes
161,Necturus alabamensis,Black warrior (=Sipsey Fork) Waterdog,Wherever found,4,Endangered,Amphibians
162,Rhadine persephone,Tooth Cave ground beetle,Wherever found,2,Endangered,Insects
163,Corvus hawaiiensis,Hawaiian (='alala) Crow,Wherever found,1,Endangered,Birds
164,Stygobromus hayi,Hay's Spring amphipod,Wherever found,5,Endangered,Crustaceans
165,Partulina variabilis,Lanai tree snail,Wherever found,1,Endangered,Snails
166,Pyrgulopsis bruneauensis,Bruneau Hot springsnail,Wherever found,1,Endangered,Snails
167,Gila purpurea,Yaqui chub,Wherever found,2,Endangered,Fishes
168,Cambarus callainus,Big Sandy crayfish,Wherever found,5,Threatened,Crustaceans
169,Epioblasma turgidula,Turgid blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
170,Eurycea [=Typhlomolge] rathbuni,Texas blind salamander,Wherever found,2,Endangered,Amphibians
171,Acipenser oxyrinchus (=oxyrhynchus) desotoi,Gulf sturgeon,Wherever found,4,Threatened,Fishes
172,Procaris hawaiana,Anchialine pool Shrimp,Wherever found,1,Endangered,Crustaceans
173,Dromus dromas,Dromedary pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
174,Cambarus veteranus,Guyandotte River crayfish,Wherever found,5,Endangered,Crustaceans
175,Oncorhynchus aguabonita whitei,Little Kern golden trout,Wherever found,8,Threatened,Fishes
176,Phoxinus cumberlandensis,Blackside dace,Wherever found,4,Threatened,Fishes
177,Polygyriscus virginianus,Virginia fringed mountain snail,Wherever found,5,Endangered,Snails
178,Euchloe ausonides insulanus,Island marble Butterfly,Wherever found,1,Endangered,Insects
179,Pleuronaia dolabelloides,Slabside Pearlymussel,Wherever found,4,Endangered,Clams
180,Drosophila sharpi,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
181,Neoleptoneta myopica,Tooth Cave Spider,Wherever found,2,Endangered,Arachnids
182,Ambrysus amargosus,Ash Meadows naucorid,Wherever found,8,Threatened,Insects
183,Partula radiolata,Guam tree snail,Wherever found,1,Endangered,Snails
184,Oncorhynchus clarkii henshawi,Lahontan cutthroat trout,Wherever found,8,Threatened,Fishes
185,Euphydryas editha taylori,Taylor's (=whulge) Checkerspot,Wherever found,1,Endangered,Insects
186,Tryonia alamosae,Alamosa springsnail,Wherever found,2,Endangered,Snails
187,Clemmys muhlenbergii,bog turtle,"U.S.A. (GA, NC, SC, TN, VA)",4,Similarity of Appearance (Threatened),Reptiles
188,Perognathus longimembris pacificus,Pacific pocket mouse,Wherever found,8,Endangered,Mammals
189,Hesperia leonardus montana,Pawnee montane skipper,Wherever found,6,Threatened,Insects
190,Erimystax cahni,Slender chub,U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i)),4,"Experimental Population, Non-Essential",Fishes
191,Loxops coccineus,Hawaii akepa,Wherever found,1,Endangered,Birds
192,Dipodomys nitratoides exilis,Fresno kangaroo rat,Wherever found,8,Endangered,Mammals
193,Percina rex,Roanoke logperch,Wherever found,5,Endangered,Fishes
194,Pituophis melanoleucus lodingi,Black pine snake,Wherever found,4,Threatened,Reptiles
195,Somatochlora hineana,Hine's emerald dragonfly,Wherever found,3,Endangered,Insects
196,Nicrophorus americanus,American burying beetle,"Wherever found, except where listed as an experimental population",2,Threatened,Insects
197,Lasiurus cinereus semotus,Hawaiian hoary bat,Wherever found,1,Endangered,Mammals
198,Phoebastria (=Diomedea) albatrus,Short-tailed albatross,Wherever found,7,Endangered,Birds
199,Percina antesella,Amber darter,Wherever found,4,Endangered,Fishes
200,Cicindela nevadica lincolniana,Salt Creek Tiger beetle,Wherever found,6,Endangered,Insects
201,Tympanuchus cupido attwateri,Attwater's greater prairie-chicken,Wherever found,2,Endangered,Birds
202,Megalagrion xanthomelas,Orangeblack Hawaiian damselfly,Wherever found,1,Endangered,Insects
203,Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals
204,Lampsilis rafinesqueana,Neosho Mucket,Wherever found,4,Endangered,Clams
205,Herpailurus (=Felis) yagouaroundi tolteca,Sinaloan Jaguarundi,Wherever found,2,Endangered,Mammals
206,Discus macclintocki,Iowa Pleistocene snail,Wherever found,3,Endangered,Snails
207,Canis lupus baileyi,Mexican wolf,U.S.A. (portions of AZ and NM)see 17.84(k),2,"Experimental Population, Non-Essential",Mammals
208,Obovaria retusa,Ring pink (mussel),Wherever found,4,Endangered,Clams
209,Peromyscus polionotus phasma,Anastasia Island beach mouse,Wherever found,4,Endangered,Mammals
210,Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects
211,Eremichthys acros,Desert dace,Wherever found,8,Threatened,Fishes
212,Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles
213,Cambarus aculabrum,Benton County cave crayfish,Wherever found,4,Endangered,Crustaceans
214,Telespyza ultima,Nihoa finch (honeycreeper),Wherever found,1,Endangered,Birds
215,Deltistes luxatus,Lost River sucker,Wherever found,8,Endangered,Fishes
216,Hemignathus hanapepe,Kauai nukupuu,Wherever found,1,Endangered,Birds
217,Heraclides aristodemus ponceanus,Schaus swallowtail butterfly,Wherever found,4,Endangered,Insects
218,Epioblasma florentina florentina,Yellow blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
219,Elliptoideus sloatianus,Purple bankclimber (mussel),Wherever found,4,Threatened,Clams
220,Loxioides bailleui,Palila (honeycreeper),Wherever found,1,Endangered,Birds
221,Grus americana,Whooping crane,"Wherever found, except where listed as an experimental population",2,Endangered,Birds
222,Acrocephalus luscinia,Nightingale reed warbler (old world warbler),Wherever found,1,Endangered,Birds
223,Canis lupus baileyi,Mexican wolf,"Wherever found, except where listed as an experimental population",2,Endangered,Mammals
224,Dromus dromas,Dromedary pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
225,Zapada glacier,Western glacier stonefly,Wherever found,6,Threatened,Insects
226,Pseudemys rubriventris bangsi,Plymouth Redbelly Turtle,Wherever found,5,Endangered,Reptiles
227,Phaeognathus hubrichti,Red Hills salamander,Wherever found,4,Threatened,Amphibians
228,Oreomystis mana,Hawaii creeper,Wherever found,1,Endangered,Birds
229,Paroreomyza flammea,Molokai creeper,Wherever found,1,Endangered,Birds
230,Mustela nigripes,Black-footed ferret,"Wherever found, except where listed as an experimental population",6,Endangered,Mammals
231,Cyprinodon radiosus,Owens pupfish,Wherever found,8,Endangered,Fishes
232,Fusconaia cor,Shiny pigtoe,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
233,Ambystoma cingulatum,Frosted Flatwoods salamander,Wherever found,4,Threatened,Amphibians
234,Taylorconcha serpenticola,Bliss Rapids snail,Wherever found,1,Threatened,Snails
235,Speyeria zerene myrtleae,Myrtle's silverspot butterfly,Wherever found,8,Endangered,Insects
236,Vagrans egistina,Mariana wandering butterfly,Wherever found,1,Endangered,Insects
237,Gambusia nobilis,Pecos gambusia,Wherever found,2,Endangered,Fishes
238,Ovis canadensis nelsoni,Peninsular bighorn sheep,Peninsular CA pop.,8,Endangered,Mammals
239,Oncorhynchus clarkii seleniris,Paiute cutthroat trout,Wherever found,8,Threatened,Fishes
240,Chrosomus saylori,Laurel dace,Wherever found,4,Endangered,Fishes
241,Psittirostra psittacea,`O`u (honeycreeper),Wherever found,1,Endangered,Birds
242,Bison bison athabascae,Wood Bison,Alaska Experimental Population,7,"Experimental Population, Non-Essential",Mammals
243,Cicurina madla,Madla Cave Meshweaver,Wherever found,2,Endangered,Arachnids
244,Pleurobema decisum,Southern clubshell,Wherever found,4,Endangered,Clams
245,Hylaeus facilis,Easy yellow-faced bee,Wherever found,1,Endangered,Insects
246,Quadrula intermedia,Cumberland monkeyface (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
247,Megalagrion pacificum,Pacific Hawaiian damselfly,Wherever found,1,Endangered,Insects
248,Polioptila californica californica,Coastal California gnatcatcher,Wherever found,8,Threatened,Birds
249,Epioblasma othcaloogensis,Southern acornshell,Wherever found,4,Endangered,Clams
250,Popenaias popeii,Texas Hornshell,Wherever found,2,Endangered,Clams
