id,scientific_name,common_name,where_listed,region_name,region,esa_listing_status,category
ES490,Buxus vahlii,Vahl's boxwood,Wherever found,Southeast,4,Endangered,Vascular Plant
ES389,Calamagrostis expansa,Maui reedgrass,Wherever found,Pacific,1,Endangered,Vascular Plant
ES247,Calamagrostis hillebrandii,Hillebrand's reedgrass,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1511,Calidris canutus rufa,Red knot,Wherever found,Northeast,5,Threatened,Bird
ES503,Callicarpa ampla,Capa rosa,Wherever found,Southeast,4,Endangered,Vascular Plant
ES348,Callirhoe scabriuscula,Texas poppy-mallow,Wherever found,Southwest,2,Endangered,Vascular Plant
ES1372,Callophrys mossii bayensis,San Bruno elfin butterfly,Wherever found,Pacific Southwest,8,Endangered,Insect
ES97,Calochortus tiburonensis,Tiburon mariposa lily,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES8,Calyptranthes thomasiana,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES177,Calyptridium pulchellum,Mariposa pussypaws,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES404,Calyptronoma rivalis,Palma de manaca,Wherever found,Southeast,4,Threatened,Vascular Plant
ES136,Calystegia stebbinsii,Stebbins' morning-glory,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES1151,Cambarus aculabrum,Benton County cave crayfish,Wherever found,Southeast,4,Endangered,Crab/Lobster/Shrimp
ES1106,Cambarus callainus,Big Sandy crayfish,Wherever found,Northeast,5,Threatened,Crab/Lobster/Shrimp
ES1426,Cambarus cracens,Slenderclaw crayfish,Wherever found,Southeast,4,Endangered,Crab/Lobster/Shrimp
ES1112,Cambarus veteranus,Guyandotte River crayfish,Wherever found,Northeast,5,Endangered,Crab/Lobster/Shrimp
ES1271,Cambarus zophonastes,Hell Creek Cave crayfish,Wherever found,Southeast,4,Endangered,Crab/Lobster/Shrimp
ES908,Camissonia benitensis,San Benito evening-primrose,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES54,Campanula robinsiae,Brooksville bellflower,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1317,Campeloma decampi,Slender campeloma,Wherever found,Southeast,4,Endangered,Slug/Snail
ES1231,Campephilus principalis,Ivory-billed woodpecker,Wherever found,Southeast,4,Endangered,Bird
ES630,Canavalia molokaiensis,`Awikiwiki,Wherever found,Pacific,1,Endangered,Vascular Plant
ES469,Canavalia napaliensis,`Awikiwiki,Wherever found,Pacific,1,Endangered,Vascular Plant
ES799,Canavalia pubescens,`Awikiwiki,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1161,Canis lupus baileyi,Mexican wolf,"Wherever found, except where listed as an experimental population",Southwest,2,Endangered,Mammal
ES1627,Canis rufus,Red wolf,"Wherever found, except where listed as an experimental population",Southeast,4,Endangered,Mammal
ES994,Caprimulgus noctitherus,Puerto Rican nightjar,Wherever found,Southeast,4,Endangered,Bird
ES219,Cardamine micranthera,Small-anthered bittercress,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1299,Caretta caretta,Loggerhead sea turtle,Northwest Atlantic Ocean DPS|North Pacific Ocean DPS,Southeast,0,Threatened|Endangered,Reptile
ES308,Carex albida,White sedge,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
