"BIO28124","ES1168","1.0"
"BIO20657","ES684","1.0"
"BIO12247","ES606","0.96"
"BIO35654","ES860","1.0"
"BIO10507","ES1334","1.0"
"BIO45911","ES312","1.0"
"BIO28310","ES1544","1.0"
"BIO43135","ES1263","1.0"
"BIO36679","ES1091","1.0"
"BIO10544","ES286","1.0"
"BIO37393","ES1056","1.0"
"BIO43115","ES1305","0.96"
"BIO36335","ES981","1.0"
"BIO04243","ES269","0.93"
"BIO30098","ES1352","1.0"
"BIO02934","ES392","0.96"
"BIO28926","ES1491","1.0"
"BIO01667","ES1578","0.99"
"BIO29379","ES334","1.0"
"BIO41271","ES574","1.0"
"BIO29869","ES140","0.95"
"BIO45922","ES1339","1.0"
"BIO25449","ES1232","1.0"
"BIO19388","ES318","0.99"
"BIO32273","ES161","0.93"
"BIO05892","ES1615","0.93"
"BIO09194","ES1212","1.0"
"BIO09081","ES540","0.98"
"BIO10014","ES33","0.96"
"BIO17740","ES534","1.0"
"BIO18473","ES723","1.0"
"BIO22414","ES100","1.0"
"BIO06727","ES97","0.93"
"BIO09609","ES341","1.0"
"BIO29011","ES1095","0.93"
"BIO29464","ES1643","0.98"
"BIO16294","ES775","0.95"
"BIO11311","ES253","0.93"
"BIO14731","ES224","0.93"
"BIO40782","ES1133","1.0"
"BIO18723","ES372","0.96"
"BIO14892","ES377","0.93"
"BIO03113","ES45","1.0"
"BIO36401","ES144","0.98"
"BIO26891","ES173","1.0"
"BIO14729","ES922","0.93"
"BIO00392","ES1476","1.0"
"BIO04405","ES214","1.0"
"BIO40718","ES862","0.93"
"BIO09109","ES818","0.93"
"BIO18203","ES1039","0.98"
"BIO05795","ES1416","1.0"
"BIO26278","ES403","1.0"
"BIO28567","ES665","0.95"
"BIO05910","ES1447","0.95"
"BIO34392","ES1223","1.0"
"BIO04247","ES743","1.0"
"BIO12752","ES24","0.93"
"BIO29712","ES558","1.0"
"BIO03142","ES115","1.0"
"BIO12332","ES470","1.0"
"BIO13257","ES1150","1.0"
"BIO38621","ES997","1.0"
"BIO32206","ES751","0.93"
"BIO12321","ES632","1.0"
"BIO05261","ES4","1.0"
"BIO12323","ES790","1.0"
"BIO43330","ES1008","0.94"
"BIO19261","ES1327","1.0"
"BIO12228","ES1083","1.0"
"BIO45461","ES1403","0.93"
"BIO10546","ES248","1.0"
"BIO39339","ES882","1.0"
"BIO31856","ES0","1.0"
"BIO18293","ES894","1.0"
"BIO01768","ES939","0.96"
"BIO02004","ES984","1.0"
"BIO24625","ES191","1.0"
"BIO09038","ES543","0.98"
"BIO38590","ES946","1.0"
"BIO43316","ES297","1.0"
"BIO01978","ES1026","1.0"
"BIO29607","ES1146","1.0"
"BIO02701","ES1535","1.0"
"BIO14761","ES101","1.0"
"BIO30095","ES1122","1.0"
"BIO12569","ES1483","1.0"
"BIO18813","ES1054","1.0"
"BIO14027","ES1605","0.99"
"BIO15786","ES1259","1.0"
"BIO20746","ES1195","0.95"
"BIO21050","ES904","1.0"
"BIO21755","ES472","1.0"
"BIO16712","ES931","1.0"
"BIO37133","ES687","0.98"
"BIO23420","ES1135","1.0"
"BIO11554","ES621","0.99"
"BIO04142","ES706","1.0"
"BIO14745","ES245","1.0"
"BIO26887","ES452","0.93"
"BIO42283","ES1010","1.0"
"BIO40346","ES649","0.93"
"BIO35168","ES1291","1.0"
"BIO36044","ES677","0.96"
"BIO06324","ES1432","0.99"
"BIO25590","ES732","0.93"
"BIO19512","ES277","1.0"
"BIO33207","ES1136","0.99"
"BIO40150","ES552","1.0"
"BIO23712","ES1417","1.0"
"BIO19669","ES726","1.0"
"BIO28230","ES1637","1.0"
"BIO17288","ES1123","1.0"
"BIO07927","ES485","1.0"
"BIO10741","ES1554","1.0"
"BIO18138","ES229","0.93"
"BIO21090","ES1359","1.0"
"BIO40037","ES258","1.0"
"BIO07214","ES1627","1.0"
"BIO35361","ES182","1.0"
"BIO14927","ES189","1.0"
"BIO07055","ES1231","1.0"
"BIO26890","ES720","0.93"
"BIO08135","ES231","0.95"
"BIO44481","ES1139","1.0"
"BIO20656","ES879","0.94"
"BIO09263","ES1005","1.0"
"BIO33911","ES270","0.96"
"BIO18811","ES955","1.0"
"BIO26892","ES905","0.93"
"BIO35968","ES1455","0.94"
"BIO39403","ES578","1.0"
"BIO43677","ES805","1.0"
"BIO28316","ES1243","1.0"
"BIO08211","ES883","1.0"
"BIO36499","ES1370","1.0"
"BIO11971","ES602","1.0"
